Food_ID,Ingredient_ID
1,1
1,2
1,3
1,4
1,5
2,6
3,7
4,1
4,2
4,3
4,4
4,8
4,9
5,2
5,10
5,11
5,12
6,6
6,10
6,12
7,1
7,13
7,14
7,15
7,16
7,17
7,18
7,19
8,3
8,11
8,13
8,14
8,15
8,16
8,18
8,19
8,20
8,21
8,22
8,23
9,1
9,2
9,3
9,6
9,7
9,8
9,24
9,25
10,1
10,2
10,3
10,6
10,8
10,10
10,26
10,27
10,28
10,29
11,1
11,2
11,3
11,8
11,10
11,12
11,30
11,31
12,1
12,2
12,3
12,8
12,17
12,25
12,32
12,33
12,34
13,1
13,2
13,3
13,8
13,17
13,25
13,27
13,32
13,33
14,1
14,2
14,3
14,8
14,13
14,14
14,15
14,16
14,17
14,25
14,32
14,33
14,34
14,35
15,1
15,2
15,3
15,6
15,7
15,8
15,24
15,25
15,36
15,37
16,1
16,2
16,3
16,6
16,8
16,10
16,26
16,27
16,28
16,29
16,37
16,38
17,1
17,2
17,3
17,8
17,10
17,12
17,30
17,31
18,1
18,2
18,3
18,8
18,17
18,25
18,32
18,33
18,34
18,39
19,1
19,2
19,31
19,40
